"County/Sub County","Farming","Exotic cattle Dairy","Exotic cattle  Beef","Indigenous cattle","Sheep","Goats","Camels","Donkeys","Pigs","Indigenous Chicken","Exotic Chicken Layers","Exotic Chicken Broilers","Beehives","Rabbits","Fish Ponds","Fish Cages"
"KILIFI SOUTH",15114,558,157,1792,177,4938,4,31,60,6215,183,342,38,86,67,8
"MAGARINI",25989,432,227,6065,767,11620,12,628,10,10013,145,189,160,54,59,14
"MALINDI",31072,1206,361,5984,1531,13394,13,299,24,12351,315,494,120,140,61,7
"RABAI",14349,266,121,2164,329,4270,5,9,127,7013,127,113,38,48,25,4
"TANA RIVER",35094,1302,283,12012,16725,21545,3333,5329,2,10187,1019,616,1066,38,176,48
"TANA DELTA",15128,456,116,5662,6412,8142,160,1395,"-",5693,437,297,464,22,91,29
"TANA NORTH",9397,399,50,2052,5423,7017,2392,2714,1,1718,300,130,424,9,51,15
"TANA RIVER",10569,447,117,4298,4890,6386,781,1220,1,2776,282,189,178,7,34,4
"LAMU",18678,508,159,3838,1932,8343,17,795,33,10362,385,253,302,62,54,15
"LAMU EAST",1831,90,33,363,57,386,"-",425,"-",670,65,25,18,2,4,1
"LAMU WEST",16847,418,126,3475,1875,7957,17,370,33,9692,320,228,284,60,50,14
"TAITA/TAVETA",56920,7893,1088,16591,7190,24512,63,1528,148,34560,895,641,1857,1555,262,27
"MWATATE",16123,2634,331,4422,1436,7021,7,480,62,9776,209,135,498,362,49,1
"TAITA",12139,3762,473,2684,2216,2989,2,590,29,7372,261,140,440,464,85,6
"TAVETA",14591,527,134,5155,2367,7211,16,247,28,8803,135,81,414,466,85,12
"VOI",14067,970,150,4330,1171,7291,38,211,29,8609,290,285,505,263,43,8
"GARISSA",47645,1376,608,23444,37684,41468,17624,20630,"-",5852,1307,832,833,285,"-","-"
"BALAMBALA",1786,83,66,669,1020,1464,1110,821,"-",108,69,63,67,62,"-","-"
"DADAAB",9315,291,124,3217,6968,8064,6508,5072,"-",476,240,120,64,48,"-","-"
"FAFI",6556,325,175,2359,4844,5639,3871,3431,"-",284,223,138,147,86,"-","-"
"GARISSA",3335,144,29,1341,1914,2517,1611,1341,"-",239,113,22,48,20,"-","-"
"HULUGHO",13731,170,71,10619,12006,12284,891,5045,"-",3774,301,232,362,46,"-","-"
"IJARA",8136,314,131,3825,6950,7194,316,1891,"-",908,349,249,141,19,"-","-"
"LAGDERA",4786,49,12,1414,3982,4306,3317,3029,"-",63,12,8,4,4,"-","-"
"WAJIR",63433,1633,518,28872,53245,57038,39237,39275,"-",5712,891,447,174,69,"-","-"
"BUNA",3425,169,75,2078,2661,2929,2396,2249,"-",586,84,63,7,3,"-","-"
"ELDAS",6975,133,85,1704,5844,6318,5516,5037,"-",383,163,69,45,19,"-","-"
"HABASWEIN",19731,559,122,10769,17753,18318,12356,12318,"-",1615,174,78,12,10,"-","-"
"TARBAJ",4598,75,20,644,3754,4201,2872,2693,"-",186,95,38,4,8,"-","-"
"WAJIR EAST",3113,98,21,413,2177,2688,1250,1231,"-",303,57,41,14,16,"-","-"
"WAJIR NORTH",5288,106,43,2946,3693,4468,3944,3453,"-",876,107,33,65,"-","-","-"
"WAJIR SOUTH",11735,356,118,6728,9825,10333,6144,7316,"-",774,146,84,17,12,"-","-"
"WAJIR WEST",8568,137,34,3590,7538,7783,4759,4978,"-",989,65,41,10,1,"-","-"
"MANDERA",62639,1203,427,28596,50451,56390,43691,40877,"-",13003,2155,1010,6008,173,"-","-"
"MANDERA WEST",8737,117,28,5632,7471,8073,7448,5477,"-",3073,137,91,677,45,"-","-"
"BANISA",14983,321,98,6867,11996,13315,12889,9314,"-",3256,745,281,4713,26,"-","-"
"KOTULO",6881,56,11,4534,6111,6499,5408,5013,"-",1632,48,35,19,40,"-","-"
"LAFEY",7352,86,32,2918,6273,6961,5106,5436,"-",1099,268,176,20,14,"-","-"
"MANDERA CENTRAL",8042,195,86,3881,6882,7349,4950,5165,"-",1582,370,141,90,22,"-","-"
"MANDERA EAST",7078,216,86,2432,4672,5849,2685,3889,"-",1301,328,133,129,16,"-","-"
"MANDERA NORTH",9566,212,86,2332,7046,8344,5205,6583,"-",1060,259,153,360,10,"-","-"
"MARSABIT",39167,1367,768,17793,30124,33757,22092,21474,19,3340,291,165,337,16,131,37
"LOIYANGALANI",4891,87,21,1390,4157,4602,2414,2765,2,333,53,21,88,3,8,2
"MARSABIT CENTRAL",4727,358,129,2465,1824,2952,664,1239,1,782,64,37,199,5,8,2
"MARSABIT NORTH",6193,94,52,2541,5861,5934,5267,4074,1,101,10,6,8,1,7,"-"
"MARSABIT SOUTH",8620,164,101,4404,7863,8211,6029,5527,7,950,32,19,4,1,12,2
"MOYALE",3823,154,76,1718,1807,2605,1624,1921,1,654,92,63,34,3,6,2
"NORTH HORR",7259,369,290,2644,6867,6937,5289,4958,4,108,22,10,1,1,49,24
"SOLOLO",3654,141,99,2631,1745,2516,805,990,3,412,18,9,3,2,41,5
"ISIOLO",24271,596,406,11953,19424,20562,6771,11509,11,6041,319,225,407,54,66,13
"GARBATULLA",9264,219,171,3653,7843,8145,2988,5232,"-",1704,42,31,53,6,38,10
"ISIOLO",8600,222,114,4767,5957,6802,1906,2718,10,3090,241,179,352,45,10,1
"MERTI",6407,155,121,3533,5624,5615,1877,3559,1,1247,36,15,2,3,18,2
"MERU",274865,63202,12794,69431,34791,94528,273,3788,11730,132552,11192,6091,12278,12517,1011,112
"BUURI EAST",18061,5096,1452,5819,5157,5740,7,420,476,11300,856,427,548,1247,49,5
"BUURI WEST",14939,3448,729,4911,5029,2402,6,41,156,7469,603,265,296,1016,64,3
"IGEMBE CENTRAL",31946,3100,703,9068,3080,13495,62,812,272,12443,918,547,921,378,70,11
"IGEMBE NORTH",22743,2263,473,6601,1654,7615,39,388,61,7035,615,340,473,167,70,8
"IGEMBE SOUTH",21483,2873,713,4429,1198,6501,5,129,1323,7279,1202,1225,727,480,76,16
"IMENTI NORTH",27839,6964,1323,5293,3219,9179,13,71,2049,14289,1361,535,1135,1586,112,12
"IMENTI SOUTH",46386,20822,3936,5259,4003,13190,12,33,959,25421,2630,1387,2107,2641,260,29
"MERU CENTRAL",31894,12860,2191,4840,3664,10367,10,161,1647,17981,1690,694,2319,2395,113,10
"TIGANIA CENTRAL",18982,2251,484,7040,1460,7556,11,31,2240,9016,600,327,1622,847,73,3
"TIGANIA EAST",12186,1471,288,3921,2644,5453,98,582,62,5239,289,148,499,379,32,8
"TIGANIA WEST",28224,2015,481,12227,3650,13008,10,1115,2479,15035,424,193,1624,1372,91,7
"MERU NATIONAL PARK",3,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"MT. KENYA FOREST",179,39,21,23,33,22,"-",5,6,45,4,3,7,9,1,"-"
"THARAKA - NITHI",85767,18185,3635,22274,13039,44784,33,3849,3566,54256,2623,1041,9054,4004,284,29
"IGAMBANG'OMBE",12254,1137,273,4271,2045,7409,7,98,239,7880,231,137,1632,469,49,2
"MAARA",27526,11013,2264,3693,2211,12252,10,5,1496,17224,1138,461,2066,1596,97,8
"MERU SOUTH",19251,5625,957,3618,1993,9003,1,6,1164,12408,843,295,1650,1783,75,8
"THARAKA NORTH",11402,90,21,4342,3227,6625,6,2642,368,6806,105,32,1730,23,29,4
"THARAKA SOUTH",15330,320,120,6350,3563,9495,9,1098,299,9936,305,116,1976,133,34,7
"MT. KENYA FOREST",4,"-","-","-","-","-","-","-","-",2,1,"-","-","-","-","-"
"EMBU",130990,23852,5700,32172,12781,56864,56,8069,2404,80171,4250,1525,11926,7297,549,57
"EMBU EAST",31674,9087,2026,4669,2221,11625,8,12,545,19095,1324,457,2159,2293,159,15
"EMBU NORTH",18854,7012,1593,1551,1373,4519,4,3,616,9773,1051,421,976,1567,84,8
"EMBU WEST",21166,5180,1414,2402,1115,6612,10,43,900,11173,879,342,1131,1582,141,15
"MBEERE SOUTH",35511,1226,424,14638,4924,20027,20,5376,161,23551,638,169,4040,1058,88,12
"MBEERE NORTH",23785,1347,243,8912,3148,14081,14,2635,182,16579,358,136,3620,797,77,7
"MT. KENYA FOREST","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"KITUI",215322,3865,3016,88486,20920,149306,433,103497,175,147023,3016,1968,30134,710,461,82
"IKUTHA",14236,287,237,6610,1574,10912,6,8639,14,10106,239,145,3044,16,21,3
"KATULANI",10717,205,174,4018,356,6628,7,4233,7,7172,178,151,444,49,24,7
"KISASI",9797,135,109,4225,310,6289,3,4129,9,6524,87,41,708,41,11,1
"KITUI CENTRAL",17146,561,254,4856,332,8313,7,3397,14,9795,329,200,689,65,42,3
"KITUI WEST",15208,313,135,5607,1008,9738,10,6165,11,10827,107,57,357,147,18,1
"KYUSO",14021,195,241,6508,2304,10907,11,9089,10,9791,248,170,3253,12,34,4
"LOWER YATTA",12281,379,313,6243,1380,8869,9,6395,7,8461,286,215,1890,24,50,26
"MATINYANI",10531,286,206,3953,712,6297,5,3504,8,7272,183,93,329,75,14,2
"MIGWANI",17012,216,150,6278,1340,11927,4,6759,13,12272,127,80,1418,141,24,2
"MUMONI",5646,91,144,2513,1132,4472,1,3345,3,4107,74,100,1184,7,12,"-"
"MUTITU",9766,138,103,4160,991,7372,74,5873,8,6835,116,37,1954,8,34,5
"MUTITU NORTH",4303,99,65,1892,149,3181,4,2158,5,2776,90,48,1075,5,5,"-"
"MUTOMO",19832,193,110,9601,1717,14496,258,10818,19,14157,166,62,3774,15,34,5
"MWINGI CENTRAL",19371,307,301,7504,1526,14598,7,10481,17,13058,287,189,3494,37,51,9
"MWINGI EAST",15945,115,168,6853,824,12054,18,9688,10,11077,153,79,3736,10,24,3
"NZAMBANI",9189,217,91,3034,290,5131,"-",2065,9,5649,158,147,787,50,13,1
"THAGICU",2968,41,126,1350,1547,2464,1,1697,5,2152,94,100,405,3,2,2
"TSEIKURU",7353,87,89,3281,3428,5658,8,5062,6,4992,94,54,1593,5,48,8
"MACHAKOS",231341,12759,4057,103561,34152,113642,96,19679,427,143193,5072,2606,6284,7966,500,68
"ATHI RIVER",13071,908,384,4053,2442,4720,10,840,103,7566,706,395,170,350,57,5
"KALAMA",11334,534,267,5531,945,6429,7,497,6,7298,237,149,207,266,28,3
"KANGUNDO",23045,2134,311,8921,2432,8352,8,835,48,13606,533,223,299,1541,33,2
"KATHIANI",24578,1643,396,8796,2938,8195,5,547,18,13818,442,190,177,1102,27,2
"MACHAKOS",26753,1783,398,8026,2383,9831,9,541,35,14011,644,299,216,959,40,"-"
"MASINGA",30328,673,448,16828,5885,20093,20,3189,42,21012,521,264,1857,630,106,22
"MATUNGULU",29763,1088,366,12402,7460,10378,11,253,84,16733,578,349,414,1528,66,11
"MWALA",39928,2491,982,21862,3517,24657,14,7143,32,27496,826,428,1437,964,68,19
"YATTA",32541,1505,505,17142,6150,20987,12,5834,59,21653,585,309,1507,626,75,4
"MAKUENI",193531,9659,3192,96923,27988,118982,73,30697,129,133836,4986,2755,12302,3675,324,66
"KATHONZWENI",15666,609,180,8860,2296,12320,7,7244,10,12254,196,125,1936,96,21,6
"KIBWEZI",33820,708,434,15179,5902,23851,8,2515,20,22767,717,355,2752,247,61,16
"KILUNGU",12881,1121,225,5694,1265,5833,11,559,4,8451,505,270,547,562,23,2
"MAKINDU",14334,295,197,5562,2669,9872,12,996,9,9635,343,326,1343,128,21,2
"MAKUENI",26021,1544,523,13900,2339,14213,10,4645,23,17975,570,258,1425,803,62,21
"MBOONI EAST",21461,1128,578,12220,1627,14226,4,7193,12,15467,976,501,1446,312,29,5
"MBOONI WEST",22069,1890,351,9220,2011,10244,3,747,6,14219,744,469,453,563,27,4
"MUKAA",22133,1095,266,12962,5285,13402,5,1925,22,15604,341,200,897,488,34,1
"NZAUI",25146,1269,438,13326,4594,15021,13,4873,23,17464,594,251,1503,476,46,9
"NYANDARUA",140854,62978,9637,23151,53860,12196,"-",6668,512,80850,7065,1996,2442,9263,233,16
"KINANGOP",23636,13083,1741,1297,8503,688,"-",635,37,11473,1371,325,194,1529,25,3
"NYANDARUA SOUTH",20400,12458,2009,1977,7688,409,"-",643,10,10747,1301,275,370,1752,23,1
"MIRANGINE",14488,7888,1142,1422,5381,649,"-",1160,24,8013,533,167,127,878,26,5
"KIPIPIRI",21702,9357,1760,5081,9301,1165,"-",954,32,12813,1405,600,641,1223,36,1
"NYANDARUA CENTRAL",16111,6015,838,2448,6309,1796,"-",1519,72,9754,857,208,258,952,33,1
"NYANDARUA WEST",21047,7930,1192,3089,7768,2251,"-",826,89,12591,931,214,285,1495,24,1
"NYANDARUA NORTH",23468,6245,955,7837,8909,5238,"-",931,248,15457,665,206,567,1434,66,4
"ABERDARE NATIONAL PARK",2,2,"-","-",1,"-","-","-","-",2,2,1,"-","-","-","-"
"NYERI",164229,51342,7267,28563,33893,41183,"-",439,2305,84273,8973,2370,3514,9302,718,58
"TETU",20387,8151,1174,1849,3164,4905,"-",19,353,10087,1722,432,507,1132,94,12
"KIENI EAST",23138,3910,441,8360,8961,4308,"-",94,128,14277,579,131,551,1606,164,4
"KIENI WEST",21942,5477,760,7504,7928,4320,"-",251,67,13258,848,247,792,1440,61,9
"MATHIRA EAST",20473,6432,956,2593,3225,4191,"-",9,540,8847,1121,280,193,1046,64,1
"MATHIRA WEST",15919,4907,516,2295,3675,4188,"-",23,294,8785,625,171,347,800,66,9
"NYERI SOUTH",21243,7718,1186,2573,2538,4863,"-",3,320,8720,1470,353,323,1198,83,9
"MUKURWE-INI",22973,10494,1671,1665,1553,10379,"-",3,229,12457,1443,410,538,1406,109,8
"NYERI CENTRAL",18108,4251,562,1716,2841,4029,"-",37,374,7832,1165,346,262,674,77,6
"MT. KENYA FOREST",44,1,1,8,8,"-","-","-","-",10,"-","-",1,"-","-","-"
"ABERDARE FOREST",2,1,"-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"KIRINYAGA",139866,29013,8588,25622,9616,42477,"-",564,2410,74137,4680,2007,2844,8727,606,54
"KIRINYAGA CENTRAL",27890,7798,2414,3181,1375,8413,"-",5,782,14507,940,452,357,1989,76,6
"KIRINYAGA EAST",36150,9861,3329,6230,2416,9521,"-",10,507,20145,1426,589,1527,2465,179,17
"KIRINYAGA WEST",27280,7548,1859,3531,1882,9961,"-",19,396,14535,963,409,439,2032,191,17
"MWEA EAST",25729,2280,633,6508,1956,8649,"-",196,360,13335,738,344,373,1339,102,7
"MWEA WEST",22809,1525,352,6172,1987,5933,"-",334,365,11612,613,213,148,902,58,7
"MT. KENYA FOREST",8,1,1,"-","-","-","-","-","-",3,"-","-","-","-","-","-"
"MURANG'A",231400,82912,17983,30738,22478,66761,"-",621,11053,117623,10341,3161,3488,14565,428,36
"MURANG'A EAST",21474,5511,909,4319,1338,9341,"-",19,338,12245,969,264,326,1292,54,6
"KANGEMA",20585,8528,2299,2175,2785,6191,"-","-",189,8654,1647,395,295,1506,35,2
"MATHIOYA",23395,10944,2050,2222,2269,7060,"-",4,247,10618,1798,510,361,1606,41,3
"KAHURO",23127,11942,2645,1691,3638,6868,"-",4,263,12794,1139,493,256,1267,42,3
"MURANG'A SOUTH",37654,8616,1521,6484,2705,12698,"-",288,2876,21579,926,397,706,2739,74,8
"GATANGA",35429,9867,3239,5856,2763,10904,"-",131,1483,17661,1255,367,863,1964,73,3
"KIGUMO",31110,13140,2692,3962,4274,5345,"-",33,1480,14926,1204,379,285,1733,59,6
"KANDARA",38624,14364,2628,4028,2706,8354,"-",142,4177,19145,1403,356,396,2458,50,5
"ABERDARE FOREST",2,"-","-",1,"-","-","-","-","-",1,"-","-","-","-","-","-"
"KIAMBU",214052,67014,9559,10511,30251,21854,"-",3891,9731,92248,14138,4156,1535,7577,379,52
"GATUNDU NORTH",21532,8476,1752,1090,3478,3425,"-",38,334,8758,1580,271,261,1025,22,3
"GATUNDU SOUTH",25074,10414,1615,1195,4686,3028,"-",21,483,11795,1241,383,256,930,55,10
"GITHUNGURI",29745,14861,1336,1230,2418,2105,"-",103,911,12195,1672,530,164,849,27,4
"JUJA",15859,1457,303,1148,1659,2595,"-",205,452,9001,1077,402,94,808,45,8
"KABETE",15713,4188,600,464,1352,899,"-",130,2176,5159,1116,322,41,401,29,3
"KIAMBAA",13339,2673,364,540,1415,1144,"-",114,1230,4659,930,322,61,381,17,2
"KIAMBU",10505,2156,289,318,874,1251,"-",51,1413,3919,946,325,86,429,28,4
"KIKUYU",17693,3771,479,575,2447,1896,"-",957,1336,8393,1066,321,141,416,25,1
"LARI",25602,11369,1636,1547,6324,1007,"-",988,144,11012,1646,387,178,1110,38,3
"LIMURU",19202,5747,745,648,3982,1168,"-",1106,536,7653,1238,247,127,471,22,4
"RUIRU",8590,748,217,407,626,1226,"-",112,287,4402,827,341,35,320,32,6
"THIKA EAST",4700,389,50,1123,678,1246,"-",47,107,2673,150,36,67,212,17,"-"
"THIKA WEST",6498,765,173,226,312,864,"-",19,322,2629,649,269,24,225,22,4
"TURKANA",61209,561,308,10117,40870,52740,15589,13570,67,5501,695,466,302,45,333,101
"KIBISH",3955,88,53,2196,3404,3707,526,2294,1,190,23,24,2,4,16,"-"
"LOIMA",9743,91,39,976,5896,8656,2616,1565,17,1055,161,130,53,13,56,11
"TURKANA CENTRAL",11229,101,62,330,7132,9785,1826,731,14,1442,200,108,8,12,106,41
"TURKANA EAST",9618,73,38,2714,7482,8223,4243,2735,13,801,92,49,136,3,54,5
"TURKANA NORTH",6956,57,41,425,4309,6526,1484,1172,5,548,48,44,3,1,27,30
"TURKANA SOUTH",10257,68,20,902,6178,8059,2447,1203,5,907,106,74,65,4,31,3
"TURKANA WEST",9451,83,55,2574,6469,7784,2447,3870,12,558,65,37,35,8,43,11
"WEST POKOT",89828,11076,3253,51874,40004,48267,3281,3378,64,52039,2376,1419,15207,228,518,87
"KIPKOMO",14921,1075,518,9283,7446,8004,18,949,9,10246,449,280,2079,54,58,6
"POKOT CENTRAL",17573,549,288,9374,6402,10625,435,230,3,9123,268,99,1911,15,55,10
"POKOT NORTH",20563,751,737,14950,9292,16945,2457,493,30,10563,455,289,5888,34,144,38
"POKOT SOUTH",12241,6033,819,4173,6068,1385,6,631,3,7743,425,170,1202,39,65,6
"WEST POKOT",24530,2668,891,14094,10796,11308,365,1075,19,14364,779,581,4127,86,196,27
"SAMBURU",43149,1046,1112,29629,34813,34279,9204,9857,48,13709,634,367,3642,62,145,31
"SAMBURU CENTRAL",22176,681,663,15372,17003,14671,1843,1904,20,9358,446,212,2377,46,78,6
"SAMBURU EAST",11460,242,301,7544,10104,10780,3784,5126,13,2914,125,64,468,5,20,3
"SAMBURU NORTH",9513,123,148,6713,7706,8828,3577,2827,15,1437,63,91,797,11,47,22
"TRANS NZOIA",140249,34268,3327,33315,33309,7090,"-",3257,670,76678,5329,2025,1959,895,664,86
"TRANS NZOIA WEST",23540,3464,425,7541,5255,1504,"-",900,211,12919,698,294,299,135,101,13
"TRANS NZOIA EAST",36921,14150,992,6653,10280,934,"-",699,95,20374,1451,360,789,206,184,14
"KWANZA",28502,6666,731,6514,6844,853,"-",388,147,14788,1194,563,232,168,159,31
"ENDEBESS",16775,2611,384,5446,5146,2004,"-",1050,58,9076,440,198,220,76,30,4
"KIMININI",34511,7377,795,7161,5784,1795,"-",220,159,19521,1546,610,419,310,190,24
"UASIN GISHU",141547,44163,3056,42622,44277,6478,19,1693,847,73895,5430,1773,5442,1047,477,61
"AINABKOI",17845,6434,614,4985,7021,530,3,116,97,8877,790,364,862,169,58,8
"KAPSERET",16891,6064,517,2764,3682,625,1,55,234,8132,889,296,458,130,62,3
"KESSES",24309,9445,729,6667,7519,563,3,735,42,11969,948,230,998,233,53,5
"MOIBEN",22915,4796,374,10454,10281,1801,3,288,144,12264,694,250,1630,231,113,16
"SOY",33352,10563,371,9815,10157,1385,4,443,79,18855,1011,281,900,133,90,12
"TURBO",26235,6861,451,7937,5617,1574,5,56,251,13798,1098,352,594,151,101,17
"ELGEYO/MARAKWET",74881,13432,1802,31393,27835,10730,21,1708,49,32412,1512,670,5141,530,260,35
"KEIYO NORTH",15190,1902,177,6845,5631,1816,7,163,7,6608,207,60,910,157,27,2
"KEIYO SOUTH",21518,5304,774,9063,8509,2877,5,531,11,10318,574,216,1859,172,105,10
"MARAKWET EAST",15779,1462,328,6168,5397,4056,6,127,6,5108,184,109,1083,22,33,6
"MARAKWET WEST",22394,4764,523,9317,8298,1981,3,887,25,10378,547,285,1289,179,95,17
"NANDI",148887,54653,5315,43268,28054,10032,"-",3116,201,78490,6867,2285,3937,1248,777,79
"CHESUMEI",26835,13575,1063,4170,5720,647,"-",36,29,13598,1752,531,586,265,118,10
"NANDI CENTRAL",23951,8901,868,5918,3902,970,"-",51,57,11421,1265,326,664,255,118,8
"NANDI EAST",16777,6573,557,3999,2603,722,"-",402,12,7514,799,292,460,97,85,6
"NANDI NORTH",30073,13536,1576,7845,8001,1075,"-",337,68,17300,1352,537,908,163,156,26
"NANDI SOUTH",31054,8776,910,11798,5195,3179,"-",488,30,17656,1209,334,703,294,223,23
"TINDERET",20197,3292,341,9538,2633,3439,"-",1802,5,11001,490,265,616,174,77,6
"BARINGO",100465,13012,2709,45272,37159,45686,4368,6093,76,53611,2032,1029,17720,627,468,81
"BARINGO CENTRAL",15137,2643,470,4770,3549,4672,4,211,2,7357,362,133,1839,96,33,6
"BARINGO NORTH",18409,2069,399,7176,5279,8558,12,59,6,9681,349,241,3365,71,23,2
"EAST POKOT",9565,406,451,5888,5644,8703,3165,617,9,3137,170,182,3484,17,137,45
"KOIBATEK",21544,6416,815,7012,7393,2012,6,2178,35,11807,594,232,1000,368,45,8
"MARIGAT",13596,568,207,6332,4469,7552,7,903,4,7956,235,97,2565,27,61,6
"MOGOTIO",13607,722,181,8786,5591,6751,9,1489,17,9436,145,67,3174,42,46,8
"TIATY EAST",8607,188,186,5308,5234,7438,1165,636,3,4237,177,77,2293,6,123,6
"LAIKIPIA",90729,9243,1865,35051,37789,29474,899,4212,328,50215,2317,618,2982,2226,353,26
"LAIKIPIA CENTRAL",18787,2489,413,8431,8399,5885,17,779,92,13016,478,106,567,839,125,3
"LAIKIPIA EAST",13192,1338,244,4793,5557,4303,131,374,81,7117,550,131,355,383,134,13
"LAIKIPIA NORTH",5898,26,87,3833,4834,5133,506,770,5,2847,53,29,1072,4,7,1
"LAIKIPIA WEST",24338,1330,636,9660,10228,9276,236,1109,43,11744,465,189,508,314,33,4
"NYAHURURU",28514,4060,485,8334,8771,4877,9,1180,107,15491,771,163,480,686,54,5
"NAKURU",283652,52739,6781,67473,76438,33712,61,15750,1700,140607,10631,3421,5935,7001,517,56
"GILGIL",27273,2303,452,7735,8013,4912,2,1931,165,15496,924,318,506,849,46,2
"KURESOI NORTH",33190,8714,991,9862,8937,2244,2,2737,28,14337,1202,360,1211,504,65,12
"KURESOI SOUTH",28030,9497,1030,10250,6647,2158,1,1037,6,14374,1071,347,1478,257,52,4
"MOLO",26641,6358,762,4071,7749,1712,6,1227,47,12251,1130,371,585,779,23,3
"NAIVASHA",33061,5273,1022,6839,10321,4740,11,2891,250,16707,1347,485,399,1118,57,9
"NAKURU EAST",8876,824,140,350,1094,849,5,39,109,3458,573,233,28,208,30,2
"NAKURU NORTH",28990,4640,536,3025,7420,3010,4,418,353,14755,1201,350,86,966,51,6
"NAKURU WEST",8752,1068,158,1117,1018,823,2,53,124,2913,486,183,41,87,18,1
"NJORO",41771,6560,643,10479,11983,5171,11,4012,241,20570,1246,346,963,1262,61,9
"RONGAI",29568,4813,642,9195,8138,4848,11,655,97,15727,851,230,326,425,66,4
"SUBUKIA",17500,2689,405,4550,5118,3245,6,750,280,10019,600,198,312,546,48,4
"NAROK",181706,19843,7266,114651,86756,65365,142,50087,169,95746,4169,2245,10552,723,620,118
"NAROK EAST",19206,2188,845,9837,10745,7835,10,5723,39,8256,345,245,585,57,113,19
"NAROK NORTH",35447,3827,1595,18493,19403,8386,23,13724,55,15082,834,456,1202,153,141,25
"NAROK SOUTH",40248,6456,1999,25658,19019,17658,51,10691,30,19979,998,591,2383,226,122,24
"NAROK WEST",30259,2317,1191,22226,16849,17535,23,5755,15,15331,817,413,1696,108,84,20
"TRANS MARA EAST",18907,2059,540,12801,5877,3343,16,2411,10,13906,450,171,1569,115,71,19
"TRANS MARA WEST",37639,2996,1096,25636,14863,10608,19,11783,20,23192,725,369,3117,64,89,11
"MAU FOREST","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"KAJIADO",97565,7099,4171,46503,54683,55397,141,21213,683,34071,2838,1330,1908,1075,379,79
"ISINYA",6584,672,500,2492,2977,2130,7,357,82,2924,403,221,77,134,66,13
"KAJIADO CENTRAL",19641,717,848,14709,16132,15176,53,9312,53,5270,348,144,351,55,65,8
"KAJIADO NORTH",10726,1177,240,639,1065,1366,5,165,274,5648,781,386,127,348,46,9
"KAJIADO WEST",23089,1539,1466,12590,16498,15734,33,6737,95,5206,528,219,555,157,106,32
"LOITOKITOK",29501,2831,909,10591,12517,15050,35,2221,169,10983,697,293,651,361,75,16
"MASHUURU",8024,163,208,5482,5494,5941,8,2421,10,4040,81,67,147,20,21,1
"KERICHO",150845,35358,2708,65545,14603,19020,"-",9640,78,71678,4693,1380,2856,1049,392,50
"BELGUT",23573,7221,359,7819,797,1577,"-",162,7,9603,850,178,174,106,37,8
"BURETI",33285,10651,576,12876,2298,1342,"-",354,20,14658,1232,330,239,206,90,9
"KERICHO EAST",23273,6317,518,8834,1241,2513,"-",650,11,10788,650,185,324,189,65,9
"KIPKELION",22836,2699,319,11965,2988,5563,"-",3429,11,12402,540,218,1010,154,79,6
"LONDIANI",25049,4607,565,11682,5801,1883,"-",2103,21,11650,754,209,860,295,45,6
