County,SubCounty,Total,Sex Male ,Sex Female,Total,HouseholdsConventional,HouseholdsGroupQuarters,LandAreaSq.Km,DensityPersonsperSq.Km
KERICHO,,901777,450741,451008,206036,"205,932 ", 104,2436,370
KERICHO,BELGUT,145072,72508,72564,35012,"34,978 ", 34,264,549
KERICHO,BURETI,199470,98823,100642,43117,"43,098 ", 19,321,622
KERICHO,KERICHO EAST,170625,86671,83947,44246,"44,246 ", -,241,709
KERICHO,KIPKELION,122530,61066,61460,24688,"24,676 ", 12,350,350
KERICHO,LONDIANI,137580,68570,69000,31778,"31,739 ", 39,400,344
KERICHO,SOIN SIGOWET,126500,63103,63395,27195,"27,195 ", -,466,271
KERICHO,MAU FOREST,-,-,-,-,- , -,201,-
KERICHO,TINDERET FOREST,-,-,,-,- , -,194,-
BOMET,,875689,434287,441379,187641,"187,230 ", 411,2507,349
BOMET,BOMET EAST,144275,71095,73172,29958,"29,897 ", 61,305,473
BOMET,CHEPALUNGU,164837,79921,84912,33931,"33,850 ", 81,461,358
BOMET,KONOIN,163507,83120,80384,38178,"38,123 ", 55,393,417
BOMET,SOTIK,227855,112369,115482,47315,"47,265 ", 50,544,419
BOMET,BOMET CENTRAL,175215,87782,87429,38259,"38,095 ", 164,286,613
BOMET,MAU FOREST,-,-,-,-,- , -,519,-
KAKAMEGA,,1867579,897133,970406,433207,"432,284 ", 923,3017,619
KAKAMEGA,BUTERE,154100,73634,80463,36243,"36,243 ", -,210,734
KAKAMEGA,KAKAMEGA CENTRAL,188212,92774,95432,52015,"51,956 ", 59,155,1212
KAKAMEGA,KAKAMEGA EAST,167641,80853,86784,39589,"39,589 ", -,417,402
KAKAMEGA,KAKAMEGA NORTH,238330,115511,122814,51083,"50,952 ", 131,421,566
KAKAMEGA,KAKAMEGA SOUTH,111743,53219,58524,26964,"26,940 ", 24,146,764
KAKAMEGA,KHWISERO,113476,53670,59803,27681,"27,681 ", -,146,779
KAKAMEGA,LIKUYANI,152055,73710,78341,35322,"34,776 ", 546,316,481
KAKAMEGA,LUGARI,122728,59135,63593,27862,"27,817 ", 45,254,483
KAKAMEGA,MATETE,66172,31749,34423,13956,"13,956 ", -,103,644
KAKAMEGA,MATUNGU,166940,78793,88143,36457,"36,414 ", 43,276,606
KAKAMEGA,MUMIAS EAST,116851,55895,60953,26049,"25,995 ", 54,150,778
KAKAMEGA,MUMIAS WEST,115354,54915,60438,27671,"27,650 ", 21,163,706
