County/Sub County,Area of Agricultural land (Hectares),Area of agricutural land by main purpose (Hectares) – Subsistence,Area of agricutural land by main purpose (Hectares) -  Commercial,Total number of Farming Households,Number of farming households by main purpose of agricultural production – Subsistence,Number of farming households by main purpose of agricultural production – Commercial
TURKANA,435576,366142,1484,61209,41670,584
KIBISH,10957,7655,45,3955,2618,51
LOIMA,19676,16024,37,9743,6611,21
TURKANA CENTRAL,21445,16675,651,11229,7850,238
TURKANA EAST,297432,293948,415,9618,7769,97
TURKANA NORTH,48423,4401,53,6956,3370,24
TURKANA SOUTH,18724,13385,195,10257,7170,107
TURKANA WEST,18920,14054,90,9451,6282,46
WEST POKOT,303114,289400,7666,89828,85044,2573
KIPKOMO,34199,33314,682,14921,14460,311
POKOT CENTRAL,28780,27830,518,17573,16488,358
POKOT NORTH,29255,28317,187,20563,19756,84
POKOT SOUTH,32018,28926,2729,12241,11112,984
WEST POKOT,178861,171014,3551,24530,23228,836
SAMBURU,205508,177593,2118,43149,35282,572
SAMBURU CENTRAL,53977,50387,1762,22176,19953,375
SAMBURU EAST,95081,80775,222,11460,8123,136
SAMBURU NORTH,56449,46431,133,9513,7206,61
TRANS NZOIA,154167,105145,47750,140249,121815,15884
TRANS NZOIA WEST,21795,14033,7634,23540,20488,2657
TRANS NZOIA EAST,38750,26536,11971,36921,31642,4785
KWANZA,35371,25376,9551,28502,24867,3033
ENDEBESS,16643,11033,5428,16775,14229,2244
KIMININI,41607,28168,13165,34511,30589,3165
UASIN GISHU,192326,108582,74336,141547,118148,21441
AINABKOI,21218,11986,9169,17845,14687,2936
KAPSERET,19077,10403,8430,16891,14306,2247
KESSES,29088,20742,8178,24309,20645,3466
MOIBEN,38335,20393,17519,22915,17862,4761
SOY,51715,27280,20160,33352,27727,5176
TURBO,32893,17778,10880,26235,22921,2855
ELGEYO/MARAKWET,68102,55480,11974,74881,65518,8660
KEIYO NORTH,10339,8707,1556,15190,14042,1018
KEIYO SOUTH,21984,19062,2522,21518,19507,1728
MARAKWET EAST,14996,12745,2185,15779,14149,1529
MARAKWET WEST,20783,14966,5711,22394,17820,4385
NANDI,211761,164111,46718,148887,134498,13136
CHESUMEI,23191,18951,4169,26835,24111,2499
NANDI CENTRAL,19590,16281,3042,23951,21513,2164
NANDI EAST,16450,13234,3138,16777,14970,1668
NANDI NORTH,31122,24798,6151,30073,27171,2633
NANDI SOUTH,99141,72558,26419,31054,28370,2470
TINDERET,22268,18289,3800,20197,18363,1702
BARINGO,182613,165508,12459,100465,89593,7230
BARINGO CENTRAL,15206,14137,991,15137,14480,510
BARINGO NORTH,58946,57891,738,18409,17825,198
EAST POKOT,22922,20075,487,9565,8191,229
KOIBATEK,25372,20690,4564,21544,18319,2975
MARIGAT,14905,11373,3349,13596,10282,2839
MOGOTIO,28045,25459,2106,13607,12861,418
TIATY EAST,17217,15881,224,8607,7635,61
LAIKIPIA,90707,67022,20508,90729,77810,9195
LAIKIPIA CENTRAL,21461,12435,8887,18787,16865,1605
LAIKIPIA EAST,11999,10135,1611,13192,11513,920
LAIKIPIA NORTH,8004,5516,141,5898,3972,220
LAIKIPIA WEST,25972,21933,3778,24338,21189,2555
NYAHURURU,23271,17002,6091,28514,24271,3895
NAKURU,357968,270779,83022,283652,241174,37725
GILGIL,44897,17495,27162,27273,23996,2821
KURESOI NORTH,31609,23611,7622,33190,27360,5389
KURESOI SOUTH,33351,28431,4494,28030,25123,2588
MOLO,21931,13805,7937,26641,20489,5693
NAIVASHA,27884,20669,6817,33061,26981,5336
NAKURU EAST,17248,10851,5044,8876,6504,1979
NAKURU NORTH,92840,87748,4530,28990,25497,2903
NAKURU WEST,13103,9274,3754,8752,7053,1474
NJORO,34851,25647,9029,41771,35246,5971
RONGAI,26720,21641,4804,29568,26934,2230
SUBUKIA,13534,11607,1829,17500,15991,1341
NAROK,718141,557124,109107,181706,145062,30373
NAROK EAST,56668,40066,11964,19206,12887,5681
NAROK NORTH,102111,48265,49105,35447,20897,13770
NAROK SOUTH,168866,133622,17598,40248,35046,3736
NAROK WEST,268943,236417,13434,30259,26767,1466
TRANS MARA EAST,15443,14620,773,18907,18531,291
TRANS MARA WEST,106110,84134,16233,37639,30934,5429
MAU FOREST,-,- ,-,-,- ,-
KAJIADO,824874,689557,82923,97565,72411,12468
ISINYA,33058,23968,5080,6584,4777,1022
KAJIADO CENTRAL,118172,97066,4838,19641,14608,1003
KAJIADO NORTH,43446,20538,22106,10726,8822,1531
KAJIADO WEST,244044,210198,8518,23089,18528,1257
LOITOKITOK,312048,274992,34417,29501,19458,6684
MASHUURU,74106,62794,7965,8024,6218,971
KERICHO,135269,118044,16562,150845,135641,14090
BELGUT,15278,12617,2581,23573,20431,2959
BURETI,23783,19631,4003,33285,29078,3912
KERICHO EAST,36970,33963,2880,23273,20665,2391
KIPKELION,21184,19133,1961,22836,21596,1153
LONDIANI,17715,15147,2468,25049,23043,1825
SOIN SIGOWET,20339,17553,2669,22829,20828,1850
BOMET,129945,114187,14608,152564,136569,14789
BOMET EAST,20126,18543,1512,26472,24741,1607
CHEPALUNGU,34562,33737,741,31910,31136,590
KONOIN,18298,12950,5124,23845,17068,6489
SOTIK,32429,29290,2958,40497,38169,2015
BOMET CENTRAL,24531,19667,4274,29840,25455,4088
KAKAMEGA,219776,201093,13125,335269,322193,9778
BUTERE,17094,16612,401,29189,28622,343
KAKAMEGA CENTRAL,17033,15184,1609,25461,23803,1291
KAKAMEGA EAST,16106,15179,818,31632,30455,795
KAKAMEGA NORTH,34105,31489,2414,43441,41187,1939
KAKAMEGA SOUTH,10320,9786,477,22218,21715,307
KHWISERO,11007,10699,241,23443,22915,260
LIKUYANI,20902,13978,2688,24849,23110,1343
LUGARI,15176,14153,968,23281,22442,649
MATETE,8241,7632,527,11488,10920,417
MATUNGU,23124,22131,836,30321,29407,635
MUMIAS EAST,11301,10771,495,21549,20983,442
MUMIAS WEST,11720,10821,800,19375,18434,741
NAVAKHOLO,23647,22658,850,29022,28200,616
VIHIGA,50521,48752,1517,113753,111139,1751
EMUHAYA,9900,9639,224,20210,19867,231
VIHIGA,7678,7431,204,18652,18240,302
SABATIA,10378,9946,383,25789,25173,433
LUANDA,8937,8600,292,20058,19595,315
HAMISI,13628,13136,415,29042,28262,470
KAKAMEGA FOREST,*,* ,-,2,2,-
BUNGOMA,223269,202494,19091,280445,264247,12829
BUMULA,29874,28346,1341,39540,38444,850
BUNGOMA CENTRAL,23347,21443,1728,31835,30118,1401
BUNGOMA EAST,16750,15765,925,19688,18802,662
BUNGOMA NORTH,16841,14751,2026,20848,19556,1119
BUNGOMA SOUTH,35311,32134,2944,41443,39236,1785
CHEPTAIS,17746,15697,1788,22457,20346,1704
KIMILILI,18217,15968,2062,25205,23337,1463
MT. ELGON,12402,10422,1942,12376,11119,1138
BUNGOMA WEST,17204,16129,922,22145,21217,656
TONGAREN,14290,12325,1875,17578,16460,905
WEBUYE WEST,20963,19331,1532,26624,25210,1132
MT. ELGON FOREST,323,184,6,706,402,14
BUSIA,116705,111661,4232,148257,143486,2892
BUNYALA,6061,5562,384,12676,11705,501
BUSIA,13383,12590,641,19412,18728,373
BUTULA,18730,18150,489,26650,26145,319
NAMBALE,15943,15026,790,19743,19108,453
SAMIA,13265,12787,362,19701,19143,300
TESO NORTH,24392,23483,785,23180,22448,489
TESO SOUTH,24932,24062,781,26895,26209,457
SIAYA,137462,131706,4581,194362,188253,3750
SIAYA,29529,28312,986,44532,43076,860
GEM,24800,23844,748,38224,37196,638
UGENYA,16296,15900,294,27847,27367,249
UGUNJA,11054,10620,314,21054,20530,260
BONDO,28602,26935,1363,32920,31282,1119
RARIEDA,27181,26095,875,29785,28802,624
KISUMU,155704,133057,17208,147117,137869,6522
KISUMU EAST,12358,9778,2326,16348,14807,1192
KISUMU CENTRAL,3179,1935,1185,4157,3144,888
KISUMU WEST,14103,13349,683,23207,22379,548
SEME,17096,16650,286,24014,23400,287
MUHORONI,44439,30514,9587,26368,24430,1563
NYANDO,41961,39097,2565,26570,24191,1673
NYAKACH,22569,21733,576,26453,25518,371
HOMA BAY,275681,263463,8853,193812,186793,4663
HOMA BAY,43749,42280,1328,16401,15447,734
NDHIWA,50873,48649,1921,40976,39886,834
RACHUONYO NORTH,31407,30124,1119,32414,31382,623
RACHUONYO EAST,34535,33686,751,23388,22769,381
RACHUONYO SOUTH,33675,32867,686,23419,22817,405
RANGWE,19193,18430,533,22145,21526,386
SUBA NORTH,25609,23865,1337,17645,16470,706
SUBA SOUTH,36642,33564,1178,17424,16496,594
MIGORI,232711,215644,14196,169958,160482,6928
AWENDO,21225,19592,1468,20101,19065,845
KURIA EAST,17962,16737,1053,14610,13923,494
KURIA WEST,43214,37476,5443,28212,25758,2053
NYATIKE,49595,46628,1289,26354,24593,832
RONGO,19835,18718,1043,19910,19179,563
SUNA EAST,22247,21089,1062,18705,17912,638
SUNA WEST,23379,22128,1038,17050,16259,501
URIRI,35254,33276,1801,25016,23793,1002
KISII,165068,154291,9494,219853,210045,7981
ETAGO,13465,12542,874,15099,14300,699
GUCHA,10311,9515,600,15067,14351,604
GUCHA SOUTH,11850,11235,572,15386,14836,455
KENYENYA,16219,15406,745,23613,22794,603
KISII CENTRAL,18011,15935,1814,24658,22792,1572
KISII SOUTH,19355,17953,1108,22532,21561,775
KITUTU CENTRAL,13238,11748,1419,20197,18894,1081
MARANI,13570,13049,418,21857,21258,445
MASABA SOUTH,18794,18054,651,23932,23197,527
NYAMACHE,19402,18587,729,24952,24153,644
SAMETA,10856,10268,563,12560,11909,576
NYAMIRA,82551,76896,5015,110028,104355,4586
BORABU,13174,11519,1455,10890,9897,829
MANGA,12386,11876,433,18096,17420,500
MASABA NORTH,14495,13778,617,20678,19937,567
NYAMIRA NORTH,23213,21945,1128,31900,30505,1103
NYAMIRA SOUTH,19283,17778,1382,28464,26596,1587
NAIROBI,34905,10822,6021,32258,24030,6956
DAGORETTI,2429,1674,626,5691,4364,1124
EMBAKASI,19192,1284,796,3224,2207,851
KAMUKUNJI,387,149,111,459,299,130
KASARANI,3325,2003,1194,6136,4399,1507
KIBRA,478,263,199,737,507,184
LANG'ATA,1090,621,430,1712,1319,304
MAKADARA,293,150,131,639,436,173
MATHARE,567,370,174,735,461,215
NJIRU,4865,3367,1293,10642,8356,1962
STAREHE,614,224,178,483,339,121
WESTLANDS,1667,717,890,1800,1343,385
