County/ Sub-County,Total NO,At School/ Learning Institution Number,At School/ Learning Institution per cent,"Left School/ Learning Institution
  After Completion Number","Left School/ Learning Institution
  After Completion per cent","Left School/ Learning Institution
  Before Completion Number","Left School/ Learning Institution
  Before per cent","Never Been to School/ Learning
  Institution Number","Never Been to School/ Learning
  Institution per cent",Dont know Number,Dont know per cent,Not Stated Number
Male,54098,29768,55,10753,19.9,9422,17.4,3780,7,368,0.7,7
Female,57792,28868,50,11106,19.2,12948,22.4,4562,7.9,302,0.5,6
BUNGOMA SOUTH,263411,127072,48.2,58794,22.3,46617,17.7,27947,10.6,2967,1.1,14
Male,126979,63234,49.8,29269,23.1,20605,16.2,12377,9.7,1489,1.2,5
Female,136427,63836,46.8,29524,21.6,26011,19.1,15569,11.4,1478,1.1,9
CHEPTAIS,124273,64726,52.1,13085,10.5,29321,23.6,15042,12.1,2080,1.7,19
Male,61904,33517,54.1,7274,11.8,13138,21.2,6852,11.1,1109,1.8,14
Female,62363,31205,50,5811,9.3,16182,25.9,8190,13.1,970,1.6,5
KIMILILI,149814,74973,50,26056,17.4,30550,20.4,16170,10.8,2060,1.4,5
Male,72387,37873,52.3,12952,17.9,13137,18.1,7363,10.2,1060,1.5,2
Female,77424,37097,47.9,13104,16.9,17413,22.5,8807,11.4,1000,1.3,3
MT. ELGON,72721,38081,52.4,10298,14.2,16086,22.1,7969,11,282,0.4,5
Male,35916,19547,54.4,5541,15.4,7256,20.2,3403,9.5,166,0.5,3
