County /Sub-County,Population Age 15 years and Above Total,Population Age 15 years and AboveMale,Population Age 15 years and Above Female,Searched and Bought Goods/Services online Total,percent total,Searched and Bought Goods/Services onlineMale,per cent male,Searched and Bought Goods/Services onlinefemale,per cent female
RUIRU,,,,30866,12,16694,13.5,14172,10.7
THIKA EAST,,,,937,3.6,513,3.9,423,3.3
THIKA WEST,,,,16822,10,9145,11.2,7675,8.8
TURKANA,,,,5147,1,3389,1.3,1758,0.7
KIBISH,,,,65,0.3,51,0.5,14,0.1
LOIMA,,,,141,0.3,99,0.4,42,0.1
TURKANA CENTRAL,,,,2127,2.1,1334,2.7,793,1.6
TURKANA EAST,,,,336,0.4,250,0.6,86,0.3
TURKANA NORTH,,,,159,0.5,133,0.8,26,0.2
TURKANA SOUTH,,,,1488,1.8,972,2.2,516,1.3
TURKANA WEST,,,,831,0.6,550,0.8,281,0.4
WEST POKOT,,,,2474,0.8,1592,1.1,882,0.6
KIPKOMO,,,,326,0.6,205,0.8,121,0.5
POKOT CENTRAL,,,,168,0.3,112,0.4,56,0.2
POKOT NORTH,,,,202,0.3,135,0.5,67,0.2
POKOT SOUTH,,,,295,0.8,214,1.1,81,0.4
WEST POKOT,,,,1483,1.6,926,2,557,1.2
SAMBURU,,,,2022,1.3,1249,1.6,773,1
SAMBURU CENTRAL,,,,1429,1.7,835,2,594,1.4
SAMBURU EAST,,,,427,1.1,289,1.5,138,0.7
SAMBURU NORTH,,,,166,0.5,125,0.7,41,0.3
TRANS NZOIA,,,,12364,2.2,7293,2.7,5071,1.7
TRANS NZOIA WEST,,,,2523,2.2,1526,2.7,997,1.7
TRANS NZOIA EAST,,,,2195,1.7,1314,2.1,881,1.3
KWANZA,,,,2406,2.1,1439,2.6,967,1.6
ENDEBESS,,,,556,0.9,388,1.3,168,0.6
KIMININI,,,,4684,3.3,2626,3.8,2058,2.8
UASIN GISHU,,,,37721,5.2,21920,6.1,15800,4.3
AINABKOI,,,,5103,5.9,2883,6.8,2220,5
KAPSERET,,,,9476,7.3,5324,8.2,4152,6.4
KESSES,,,,3429,3.8,2063,4.6,1365,3
MOIBEN,,,,7015,6.1,4119,7.3,2896,5
SOY,,,,3938,2.9,2433,3.6,1505,2.2
TURBO,,,,8760,5.3,5098,6.1,3662,4.4
ELGEYO/MARAKWET,,,,4428,1.7,2839,2.2,1587,1.2
KEIYO NORTH,,,,1748,2.9,1093,3.7,655,2.2
KEIYO SOUTH,,,,1215,1.7,760,2.1,453,1.2
MARAKWET EAST,,,,417,0.8,312,1.3,105,0.4
MARAKWET WEST,,,,1048,1.3,674,1.7,374,1
NANDI,,,,10900,2,6634,2.5,4264,1.6
CHESUMEI,,,,2980,2.9,1734,3.5,1245,2.4
NANDI CENTRAL,,,,2290,2.5,1403,3.2,886,1.9
NANDI EAST,,,,1826,2.5,1136,3.1,690,1.9
NANDI NORTH,,,,1474,1.5,911,1.9,563,1.1
NANDI SOUTH,,,,1539,1.5,915,1.8,624,1.2
TINDERET,,,,791,1.2,535,1.6,256,0.8
BARINGO,,,,7251,2,4632,2.5,2618,1.4
BARINGO CENTRAL,,,,1830,3.2,1135,4,695,2.4
BARINGO NORTH,,,,797,1.4,545,1.9,252,0.8
EAST POKOT,,,,113,0.3,80,0.4,33,0.2
KOIBATEK,,,,2240,2.8,1378,3.5,862,2.2
MARIGAT,,,,743,1.6,525,2.3,217,0.9
MOGOTIO,,,,1289,2.5,802,3.1,487,1.9
TIATY EAST,,,,239,0.7,167,0.9,72,0.4
LAIKIPIA,,,,10074,3.2,5915,3.8,4158,2.6
LAIKIPIA CENTRAL,,,,2249,3.6,1285,4.1,964,3
LAIKIPIA EAST,,,,3786,5.7,2241,6.7,1545,4.7
LAIKIPIA NORTH,,,,121,0.7,79,0.9,42,0.5
LAIKIPIA WEST,,,,949,1.3,602,1.6,347,0.9
NYAHURURU,,,,2969,3,1708,3.6,1260,2.5
NAKURU,,,,58427,4.4,34423,5.3,24001,3.5
GILGIL,,,,4812,4.2,2948,5.1,1864,3.2
KURESOI NORTH,,,,1135,1.2,798,1.7,337,0.7
KURESOI SOUTH,,,,1386,1.6,980,2.3,406,0.9
