County/ Sub-County,ConventionalHouseholds,Makuti/Twigs,Makuti thatch,Dung/Mud,Iron sheets,Tins/cans,Asbestos  Concrete/sheet,Cement,Tiles,Canvas/Tents,Decra/Versatile,Nylon/Cartons/Cardboard,Shingles,Not Stated
KITUI WEST,17465,0.2,0,0.1,95.7,0.1,1.8,0.6,0.7,-,0.6,0,0,-
KYUSO,15969,3.7,0.1,0.4,93.7,0.1,0.8,0.8,0.1,0,0.2,0.1,0.1,0
LOWER YATTA,15021,1.3,0.2,0.7,94,0.1,1.7,1.2,0.3,0.1,0.4,0,0,0
MATINYANI,11497,0.4,0,0.1,96.1,0.1,1.6,0.4,0.4,0,0.8,0,0,-
MIGWANI,18843,0.2,0,0.2,96.9,0.1,1.3,0.5,0.2,0,0.6,0,-,0
MUMONI,6451,3.1,0.1,0.1,95.4,0.2,0.7,0.1,0,-,0.3,0,-,0
MUTITU,11490,7.9,1.4,0.9,87.4,0.1,1.2,0.4,0.1,0.1,0.2,0.1,-,0.1
MUTITU NORTH,4929,2.4,0.2,0.3,94.6,0.2,0.5,0.2,0.2,0.1,1.1,0.1,0.1,0
MUTOMO,23034,7.3,1.2,0.3,88.7,0.2,1.5,0.2,0.2,0,0.3,0.1,0,0
MWINGI CENTRAL,26745,0.4,0.1,0.3,93.6,0.1,2.4,2.2,0.2,0,0.4,0.2,0.1,0
MWINGI EAST,18725,4.8,0.3,0.6,91.9,0.1,0.9,0.6,0.2,0.1,0.3,0.1,0,0
NZAMBANI,11276,0.7,0.1,0.1,95.8,0.1,1.3,0.8,0.2,0.1,0.9,0,-,-
THAGICU,3289,14.5,0.5,0.4,84.3,0,0.2,0,-,-,0.1,-,-,-
TSEIKURU,8449,12.1,0.3,0.9,85.7,0.1,0.4,0.5,0.1,0,-,0,-,-
MACHAKOS,399523,0.2,0,0.1,85.9,0.1,1.9,8.9,1.2,0,1.3,0.2,0.1,0
ATHI RIVER,109723,0.1,0,0.1,63.7,0.1,1.7,27.3,3.5,0.1,2.7,0.5,0.1,0.1
KALAMA,14137,0.3,0,0.2,95.6,0.2,1.8,1.1,0.4,0,0.4,0,0,0
KANGUNDO,26115,0.1,0,0,96.4,0.1,1.9,0.5,0.3,0,0.6,0,0,0
KATHIANI,28730,0,0,0.1,96.2,0.1,1.9,0.4,0.3,-,1,0,0,0
MACHAKOS,50753,0,0,0.1,91.2,0.2,2.4,4.2,0.9,0,0.8,0.1,0,0
MASINGA,36196,1.2,0.1,0.3,95.9,0.2,1.5,0.2,0.1,0,0.4,0,0,0
MATUNGULU,44399,0.2,0,0.2,91.5,0.1,2.8,3.5,0.3,0,1.3,0.1,0,0
MWALA,45809,0.2,0,0.1,96.9,0.1,1.1,0.7,0.2,0,0.5,0.1,0,0
YATTA,43661,0.6,0.2,0.2,93.9,0.2,2,2.1,0.2,0,0.5,0,0,0
MAKUENI,243979,0.6,0.1,0.1,96,0.1,1.6,0.6,0.2,0,0.5,0,0,0
KATHONZWENI,18362,1.7,0,0.1,95.9,0.2,1.3,0.3,0.1,0,0.3,0,0.1,0
KIBWEZI,47594,0.8,0,0.1,96.8,0.1,1.2,0.5,0.2,0,0.3,0,0,0
KILUNGU,14563,0.1,0,0.3,97.3,0.2,1.1,0.5,0.1,-,0.3,0.1,-,0
MAKINDU,21662,0.6,0,0.1,95.6,0.2,2,0.5,0.2,0,0.6,0.1,0,0
MAKUENI,34352,0.5,0,0.1,95.5,0.1,1.8,1,0.2,0,0.7,0,0,0
MBOONI EAST,23724,0.4,0.3,0.1,95.8,0.1,1.9,0.3,0.1,0,0.9,0,0,0
MBOONI WEST,24807,0.2,0,0.1,97.1,0.1,1.5,0.3,0.1,-,0.4,0,0,0
MUKAA,28109,0.3,0,0.2,95.8,0.2,1.1,1.3,0.4,0,0.6,0.1,0,0
NZAUI,30806,0.8,0.1,0.2,94.7,0.1,2.2,0.9,0.2,0.1,0.7,0,0,0
NYANDARUA,178224,0.1,0,0.1,97.2,0.1,0.8,0.8,0.1,0,0.3,0.4,0,0
