"No","COUNTY","Age","Male","Female","Total"
2221,"KITUI",93,130,222,352
2222,"KITUI",94,154,225,379
2223,"KITUI","90-94",1194,2352,3546
2224,"KITUI",95,166,303,469
2225,"KITUI",96,71,94,165
2226,"KITUI",97,108,81,189
2227,"KITUI",98,59,105,164
2228,"KITUI",99,146,289,435
2229,"KITUI","95-99",550,872,1422
2230,"KITUI","100+",268,476,744
2231,"KITUI","Not Stated",4,6,10
2233,"KWALE","Total",362726,377650,740376
2234,"KWALE",0,10626,10664,21290
2235,"KWALE",1,11099,10811,21910
2236,"KWALE",2,11621,11393,23014
2237,"KWALE",3,11717,11924,23641
2238,"KWALE",4,12551,12166,24717
2239,"KWALE","0 - 4",57614,56958,114572
2240,"KWALE",5,12964,12565,25529
2241,"KWALE",6,12303,11966,24269
2242,"KWALE",7,11651,11145,22796
2243,"KWALE",8,11080,11054,22134
2244,"KWALE",9,11625,11215,22840
2245,"KWALE","5-9",59623,57945,117568
2246,"KWALE",10,11787,11695,23482
2247,"KWALE",11,10653,10749,21402
2248,"KWALE",12,11892,11346,23238
2249,"KWALE",13,11807,11528,23335
2250,"KWALE",14,10470,10002,20472
2251,"KWALE","10-14",56609,55320,111929
2252,"KWALE",15,9835,9356,19191
2253,"KWALE",16,9116,8814,17930
2254,"KWALE",17,9005,8041,17046
2255,"KWALE",18,8165,7460,15625
2256,"KWALE",19,7707,7881,15588
2257,"KWALE","15-19",43828,41552,85380
2258,"KWALE",20,7111,7960,15071
2259,"KWALE",21,4954,5631,10585
2260,"KWALE",22,5124,6145,11269
2261,"KWALE",23,4927,6093,11020
2262,"KWALE",24,4426,5408,9834
2263,"KWALE","20-24",26542,31237,57779
2264,"KWALE",25,5498,6437,11935
2265,"KWALE",26,4328,5497,9825
2266,"KWALE",27,4356,5138,9494
2267,"KWALE",28,3756,4918,8674
2268,"KWALE",29,3652,4965,8617
2269,"KWALE","25-29",21590,26955,48545
2270,"KWALE",30,5233,7134,12367
2271,"KWALE",31,3244,4254,7498
2272,"KWALE",32,3984,5050,9034
2273,"KWALE",33,3296,4189,7485
2274,"KWALE",34,3280,3838,7118
2275,"KWALE","30-34",19037,24465,43502
2276,"KWALE",35,4537,5096,9633
2277,"KWALE",36,2988,3336,6324
2278,"KWALE",37,2811,3014,5825
2279,"KWALE",38,2210,2397,4607
2280,"KWALE",39,2447,2514,4961
2281,"KWALE","35-39",14993,16357,31350
2282,"KWALE",40,3725,4089,7814
2283,"KWALE",41,2915,3234,6149
2284,"KWALE",42,3114,3633,6747
2285,"KWALE",43,2586,3050,5636
2286,"KWALE",44,2252,2374,4626
2287,"KWALE","40-44",14592,16380,30972
2288,"KWALE",45,3626,3561,7187
2289,"KWALE",46,2167,2371,4538
2290,"KWALE",47,2414,2240,4654
2291,"KWALE",48,1771,1673,3444
2292,"KWALE",49,1960,1635,3595
2293,"KWALE","45-49",11938,11480,23418
2294,"KWALE",50,3097,3117,6214
2295,"KWALE",51,1926,1485,3411
2296,"KWALE",52,1495,1153,2648
2297,"KWALE",53,956,695,1651
2298,"KWALE",54,1199,852,2051
2299,"KWALE","50-54",8673,7302,15975
2300,"KWALE",55,1440,1166,2606
2301,"KWALE",56,1651,1504,3155
2302,"KWALE",57,1432,1431,2863
2303,"KWALE",58,1200,1147,2347
2304,"KWALE",59,1447,1833,3280
2305,"KWALE","55-59",7170,7081,14251
2306,"KWALE",60,2101,3121,5222
2307,"KWALE",61,1148,1566,2714
2308,"KWALE",62,1198,1251,2449
2309,"KWALE",63,1195,1445,2640
2310,"KWALE",64,995,1100,2095
2311,"KWALE","60-64",6637,8483,15120
2312,"KWALE",65,1616,1845,3461
2313,"KWALE",66,937,804,1741
2314,"KWALE",67,1297,1194,2491
2315,"KWALE",68,717,697,1414
2316,"KWALE",69,1037,1402,2439
2317,"KWALE","65-69",5604,5942,11546
2318,"KWALE",70,1525,2354,3879
2319,"KWALE",71,573,689,1262
2320,"KWALE",72,589,643,1232
2321,"KWALE",73,507,465,972
2322,"KWALE",74,555,614,1169
2323,"KWALE","70-74",3749,4765,8514
2324,"KWALE",75,683,682,1365
2325,"KWALE",76,346,330,676
2326,"KWALE",77,381,387,768
2327,"KWALE",78,305,250,555
2328,"KWALE",79,405,504,909
2329,"KWALE","75-79",2120,2153,4273
2330,"KWALE",80,523,918,1441
2331,"KWALE",81,197,216,413
2332,"KWALE",82,179,172,351
2333,"KWALE",83,170,209,379
2334,"KWALE",84,185,235,420
2335,"KWALE","80-84",1254,1750,3004
2336,"KWALE",85,189,274,463
2337,"KWALE",86,107,89,196
2338,"KWALE",87,120,136,256
2339,"KWALE",88,70,73,143
2340,"KWALE",89,173,256,429
2341,"KWALE","85-89",659,828,1487
2342,"KWALE",90,125,233,358
2343,"KWALE",91,49,55,104
2344,"KWALE",92,39,28,67
2345,"KWALE",93,22,28,50
2346,"KWALE",94,34,38,72
2347,"KWALE","90-94",269,382,651
2348,"KWALE",95,34,39,73
2349,"KWALE",96,21,23,44
2350,"KWALE",97,15,24,39
2351,"KWALE",98,15,22,37
2352,"KWALE",99,42,55,97
2353,"KWALE","95-99",127,163,290
2354,"KWALE","100+",93,146,239
2355,"KWALE","Not Stated",5,6,11
2357,"LAIKIPIA","Total",196277,194909,391186
2358,"LAIKIPIA",0,4929,4751,9680
2359,"LAIKIPIA",1,4655,4538,9193
2360,"LAIKIPIA",2,5066,4911,9977
2361,"LAIKIPIA",3,5468,5371,10839
2362,"LAIKIPIA",4,5344,5284,10628
2363,"LAIKIPIA","0 - 4",25462,24855,50317
2364,"LAIKIPIA",5,5239,5068,10307
2365,"LAIKIPIA",6,5383,5145,10528
2366,"LAIKIPIA",7,5201,5171,10372
2367,"LAIKIPIA",8,5184,5009,10193
2368,"LAIKIPIA",9,5010,4945,9955
2369,"LAIKIPIA","5-9",26017,25338,51355
2370,"LAIKIPIA",10,5918,5707,11625
2371,"LAIKIPIA",11,4784,4637,9421
2372,"LAIKIPIA",12,5799,5162,10961
2373,"LAIKIPIA",13,5504,5283,10787
2374,"LAIKIPIA",14,5341,4852,10193
2375,"LAIKIPIA","10-14",27346,25641,52987
2376,"LAIKIPIA",15,5436,4879,10315
2377,"LAIKIPIA",16,4870,4535,9405
2378,"LAIKIPIA",17,5235,4435,9670
2379,"LAIKIPIA",18,4254,3683,7937
2380,"LAIKIPIA",19,4008,3551,7559
2381,"LAIKIPIA","15-19",23803,21083,44886
2382,"LAIKIPIA",20,3653,3581,7234
2383,"LAIKIPIA",21,2975,2843,5818
2384,"LAIKIPIA",22,2825,3045,5870
2385,"LAIKIPIA",23,2724,2827,5551
2386,"LAIKIPIA",24,2452,2506,4958
2387,"LAIKIPIA","20-24",14629,14802,29431
2388,"LAIKIPIA",25,2854,2811,5665
2389,"LAIKIPIA",26,2110,2360,4470
2390,"LAIKIPIA",27,2244,2399,4643
2391,"LAIKIPIA",28,2074,2239,4313
2392,"LAIKIPIA",29,2122,2316,4438
2393,"LAIKIPIA","25-29",11404,12125,23529
2394,"LAIKIPIA",30,2917,3333,6250
2395,"LAIKIPIA",31,2068,2263,4331
2396,"LAIKIPIA",32,2487,2745,5232
2397,"LAIKIPIA",33,2077,2335,4412
2398,"LAIKIPIA",34,1948,2107,4055
2399,"LAIKIPIA","30-34",11497,12783,24280
2400,"LAIKIPIA",35,3094,3113,6207
2401,"LAIKIPIA",36,1989,1863,3852
2402,"LAIKIPIA",37,2034,1774,3808
2403,"LAIKIPIA",38,1720,1574,3294
2404,"LAIKIPIA",39,1904,1795,3699
2405,"LAIKIPIA","35-39",10741,10119,20860
2406,"LAIKIPIA",40,2674,2367,5041
2407,"LAIKIPIA",41,2025,2026,4051
2408,"LAIKIPIA",42,2024,1984,4008
2409,"LAIKIPIA",43,1737,1685,3422
2410,"LAIKIPIA",44,1413,1452,2865
2411,"LAIKIPIA","40-44",9873,9514,19387
2412,"LAIKIPIA",45,2312,2208,4520
2413,"LAIKIPIA",46,1680,1715,3395
2414,"LAIKIPIA",47,1638,1664,3302
2415,"LAIKIPIA",48,1244,1279,2523
2416,"LAIKIPIA",49,1444,1463,2907
2417,"LAIKIPIA","45-49",8318,8329,16647
2418,"LAIKIPIA",50,1897,1995,3892
2419,"LAIKIPIA",51,1415,1387,2802
2420,"LAIKIPIA",52,1391,1397,2788
2421,"LAIKIPIA",53,967,1039,2006
2422,"LAIKIPIA",54,1247,1287,2534
2423,"LAIKIPIA","50-54",6917,7105,14022
2424,"LAIKIPIA",55,1426,1385,2811
2425,"LAIKIPIA",56,1361,1339,2700
2426,"LAIKIPIA",57,1060,1241,2301
2427,"LAIKIPIA",58,917,1093,2010
2428,"LAIKIPIA",59,1092,1226,2318
2429,"LAIKIPIA","55-59",5856,6284,12140
2430,"LAIKIPIA",60,1347,1558,2905
2431,"LAIKIPIA",61,880,988,1868
2432,"LAIKIPIA",62,826,826,1652
2433,"LAIKIPIA",63,674,760,1434
2434,"LAIKIPIA",64,481,546,1027
2435,"LAIKIPIA","60-64",4208,4678,8886
2436,"LAIKIPIA",65,849,942,1791
2437,"LAIKIPIA",66,558,628,1186
2438,"LAIKIPIA",67,946,1119,2065
2439,"LAIKIPIA",68,444,502,946
2440,"LAIKIPIA",69,700,779,1479
2441,"LAIKIPIA","65-69",3497,3970,7467
2442,"LAIKIPIA",70,985,1200,2185
2443,"LAIKIPIA",71,592,728,1320
2444,"LAIKIPIA",72,618,533,1151
2445,"LAIKIPIA",73,481,440,921
2446,"LAIKIPIA",74,407,472,879
2447,"LAIKIPIA","70-74",3083,3373,6456
2448,"LAIKIPIA",75,398,528,926
2449,"LAIKIPIA",76,426,700,1126
2450,"LAIKIPIA",77,309,366,675
2451,"LAIKIPIA",78,251,228,479
2452,"LAIKIPIA",79,276,359,635
2453,"LAIKIPIA","75-79",1660,2181,3841
2454,"LAIKIPIA",80,385,496,881
2455,"LAIKIPIA",81,186,242,428
2456,"LAIKIPIA",82,153,160,313
2457,"LAIKIPIA",83,172,174,346
2458,"LAIKIPIA",84,164,190,354
2459,"LAIKIPIA","80-84",1060,1262,2322
2460,"LAIKIPIA",85,139,164,303
2461,"LAIKIPIA",86,99,172,271
2462,"LAIKIPIA",87,112,120,232
2463,"LAIKIPIA",88,51,66,117
2464,"LAIKIPIA",89,124,204,328
2465,"LAIKIPIA","85-89",525,726,1251
2466,"LAIKIPIA",90,69,149,218
2467,"LAIKIPIA",91,76,105,181
2468,"LAIKIPIA",92,35,44,79
2469,"LAIKIPIA",93,23,40,63
2470,"LAIKIPIA",94,22,49,71
2471,"LAIKIPIA","90-94",225,387,612
2472,"LAIKIPIA",95,32,66,98
2473,"LAIKIPIA",96,13,33,46
2474,"LAIKIPIA",97,19,40,59
2475,"LAIKIPIA",98,15,22,37
2476,"LAIKIPIA",99,21,53,74
2477,"LAIKIPIA","95-99",100,214,314
2478,"LAIKIPIA","100+",54,138,192
2479,"LAIKIPIA","Not Stated",2,2,4
2481,"LAMU","Total",56570,48902,105472
2482,"LAMU",0,1344,1282,2626
2483,"LAMU",1,1318,1264,2582
2484,"LAMU",2,1469,1363,2832
2485,"LAMU",3,1476,1423,2899
2486,"LAMU",4,1591,1456,3047
2487,"LAMU","0 - 4",7198,6788,13986
2488,"LAMU",5,1552,1435,2987
2489,"LAMU",6,1497,1414,2911
2490,"LAMU",7,1377,1402,2779
2491,"LAMU",8,1452,1446,2898
2492,"LAMU",9,1409,1341,2750
2493,"LAMU","5-9",7287,7038,14325
2494,"LAMU",10,1538,1444,2982
2495,"LAMU",11,1297,1262,2559
2496,"LAMU",12,1514,1356,2870
2497,"LAMU",13,1530,1457,2987
2498,"LAMU",14,1395,1233,2628
2499,"LAMU","10-14",7274,6752,14026
2500,"LAMU",15,1323,1208,2531
2501,"LAMU",16,1244,1114,2358
2502,"LAMU",17,1302,1052,2354
2503,"LAMU",18,1091,975,2066
2504,"LAMU",19,1081,928,2009
2505,"LAMU","15-19",6041,5277,11318
2506,"LAMU",20,1127,984,2111
2507,"LAMU",21,934,739,1673
2508,"LAMU",22,1122,825,1947
2509,"LAMU",23,1052,791,1843
2510,"LAMU",24,1056,637,1693
2511,"LAMU","20-24",5291,3976,9267
2512,"LAMU",25,1126,771,1897
2513,"LAMU",26,980,765,1745
2514,"LAMU",27,940,659,1599
2515,"LAMU",28,771,552,1323
2516,"LAMU",29,765,520,1285
2517,"LAMU","25-29",4582,3267,7849
2518,"LAMU",30,991,805,1796
2519,"LAMU",31,827,671,1498
2520,"LAMU",32,877,732,1609
2521,"LAMU",33,695,580,1275
2522,"LAMU",34,627,531,1158
2523,"LAMU","30-34",4017,3319,7336
2524,"LAMU",35,840,712,1552
2525,"LAMU",36,687,568,1255
2526,"LAMU",37,614,491,1105
2527,"LAMU",38,444,351,795
2528,"LAMU",39,522,359,881
2529,"LAMU","35-39",3107,2481,5588
2530,"LAMU",40,715,538,1253
2531,"LAMU",41,769,689,1458
2532,"LAMU",42,536,460,996
2533,"LAMU",43,425,343,768
2534,"LAMU",44,341,280,621
2535,"LAMU","40-44",2786,2310,5096
2536,"LAMU",45,737,654,1391
2537,"LAMU",46,471,370,841
2538,"LAMU",47,426,281,707
2539,"LAMU",48,343,247,590
2540,"LAMU",49,389,304,693
2541,"LAMU","45-49",2366,1856,4222
2542,"LAMU",50,546,415,961
2543,"LAMU",51,389,306,695
2544,"LAMU",52,314,263,577
2545,"LAMU",53,206,177,383
2546,"LAMU",54,242,186,428
2547,"LAMU","50-54",1697,1347,3044
2548,"LAMU",55,320,218,538
2549,"LAMU",56,337,301,638
2550,"LAMU",57,258,278,536
2551,"LAMU",58,261,235,496
2552,"LAMU",59,291,263,554
2553,"LAMU","55-59",1467,1295,2762
2554,"LAMU",60,337,356,693
2555,"LAMU",61,205,240,445
2556,"LAMU",62,217,161,378
2557,"LAMU",63,214,161,375
2558,"LAMU",64,169,129,298
2559,"LAMU","60-64",1142,1047,2189
2560,"LAMU",65,238,246,484
2561,"LAMU",66,147,153,300
2562,"LAMU",67,215,159,374
2563,"LAMU",68,130,112,242
2564,"LAMU",69,177,129,306
2565,"LAMU","65-69",907,799,1706
2566,"LAMU",70,227,266,493
2567,"LAMU",71,136,170,306
2568,"LAMU",72,142,83,225
2569,"LAMU",73,111,59,170
2570,"LAMU",74,90,67,157
2571,"LAMU","70-74",706,645,1351
2572,"LAMU",75,94,104,198
2573,"LAMU",76,82,73,155
2574,"LAMU",77,65,34,99
2575,"LAMU",78,51,30,81
2576,"LAMU",79,53,50,103
2577,"LAMU","75-79",345,291,636
2578,"LAMU",80,77,110,187
2579,"LAMU",81,40,38,78
2580,"LAMU",82,20,17,37
2581,"LAMU",83,32,18,50
2582,"LAMU",84,32,23,55
2583,"LAMU","80-84",201,206,407
2584,"LAMU",85,23,26,49
2585,"LAMU",86,16,22,38
2586,"LAMU",87,23,13,36
2587,"LAMU",88,12,9,21
2588,"LAMU",89,14,19,33
2589,"LAMU","85-89",88,89,177
2590,"LAMU",90,16,30,46
2591,"LAMU",91,5,15,20
2592,"LAMU",92,10,5,15
2593,"LAMU",93,2,6,8
2594,"LAMU",94,5,4,9
2595,"LAMU","90-94",38,60,98
2596,"LAMU",95,5,5,10
2597,"LAMU",96,3,6,9
2598,"LAMU",97,4,5,9
2599,"LAMU",98,2,2,4
2600,"LAMU",99,2,11,13
2601,"LAMU","95-99",16,29,45
2602,"LAMU","100+",11,29,40
2603,"LAMU","Not Stated",3,1,4
2605,"MACHAKOS","Total",504247,503582,1007829
2606,"MACHAKOS",0,9076,9016,18092
2607,"MACHAKOS",1,9786,9555,19341
2608,"MACHAKOS",2,9717,9647,19364
2609,"MACHAKOS",3,10296,10315,20611
2610,"MACHAKOS",4,10789,10172,20961
2611,"MACHAKOS","0 - 4",49664,48705,98369
2612,"MACHAKOS",5,10904,10319,21223
2613,"MACHAKOS",6,10667,10412,21079
2614,"MACHAKOS",7,11158,10622,21780
2615,"MACHAKOS",8,11370,11225,22595
2616,"MACHAKOS",9,12618,11727,24345
2617,"MACHAKOS","5-9",56717,54305,111022
2618,"MACHAKOS",10,12783,12291,25074
2619,"MACHAKOS",11,12690,12934,25624
2620,"MACHAKOS",12,13964,13293,27257
2621,"MACHAKOS",13,13655,13166,26821
2622,"MACHAKOS",14,13646,12508,26154
2623,"MACHAKOS","10-14",66738,64192,130930
2624,"MACHAKOS",15,13258,12712,25970
2625,"MACHAKOS",16,12745,12002,24747
2626,"MACHAKOS",17,13319,11895,25214
2627,"MACHAKOS",18,10423,8956,19379
2628,"MACHAKOS",19,10953,8849,19802
2629,"MACHAKOS","15-19",60698,54414,115112
2630,"MACHAKOS",20,10000,8438,18438
2631,"MACHAKOS",21,8825,7446,16271
2632,"MACHAKOS",22,7755,6821,14576
2633,"MACHAKOS",23,8320,7597,15917
2634,"MACHAKOS",24,7319,6563,13882
2635,"MACHAKOS","20-24",42219,36865,79084
2636,"MACHAKOS",25,7316,6638,13954
2637,"MACHAKOS",26,5993,5925,11918
2638,"MACHAKOS",27,6425,6166,12591
2639,"MACHAKOS",28,5556,5770,11326
2640,"MACHAKOS",29,6795,6818,13613
2641,"MACHAKOS","25-29",32085,31317,63402
2642,"MACHAKOS",30,7541,8094,15635
2643,"MACHAKOS",31,6130,6139,12269
2644,"MACHAKOS",32,7267,7687,14954
2645,"MACHAKOS",33,6539,7175,13714
2646,"MACHAKOS",34,5932,6147,12079
2647,"MACHAKOS","30-34",33409,35242,68651
2648,"MACHAKOS",35,7557,7759,15316
2649,"MACHAKOS",36,5873,5983,11856
2650,"MACHAKOS",37,6548,6108,12656
2651,"MACHAKOS",38,4830,4626,9456
2652,"MACHAKOS",39,6371,6272,12643
2653,"MACHAKOS","35-39",31179,30748,61927
2654,"MACHAKOS",40,6405,6271,12676
2655,"MACHAKOS",41,6621,6405,13026
2656,"MACHAKOS",42,5536,5545,11081
2657,"MACHAKOS",43,5117,5840,10957
2658,"MACHAKOS",44,4441,4445,8886
2659,"MACHAKOS","40-44",28120,28506,56626
2660,"MACHAKOS",45,6059,5875,11934
2661,"MACHAKOS",46,4811,4490,9301
2662,"MACHAKOS",47,4887,4559,9446
2663,"MACHAKOS",48,3423,3544,6967
2664,"MACHAKOS",49,4669,4769,9438
2665,"MACHAKOS","45-49",23849,23237,47086
2666,"MACHAKOS",50,4532,5116,9648
2667,"MACHAKOS",51,3922,4299,8221
2668,"MACHAKOS",52,3155,3275,6430
2669,"MACHAKOS",53,2640,2804,5444
2670,"MACHAKOS",54,3150,3306,6456
2671,"MACHAKOS","50-54",17399,18800,36199
2672,"MACHAKOS",55,3494,3490,6984
2673,"MACHAKOS",56,4010,4251,8261
2674,"MACHAKOS",57,3084,3942,7026
2675,"MACHAKOS",58,2368,2768,5136
2676,"MACHAKOS",59,3525,3859,7384
2677,"MACHAKOS","55-59",16481,18310,34791
2678,"MACHAKOS",60,4083,4447,8530
2679,"MACHAKOS",61,3594,3731,7325
2680,"MACHAKOS",62,2806,2830,5636
2681,"MACHAKOS",63,2962,3163,6125
2682,"MACHAKOS",64,1973,2144,4117
2683,"MACHAKOS","60-64",15418,16315,31733
2684,"MACHAKOS",65,2792,3164,5956
2685,"MACHAKOS",66,1838,2161,3999
2686,"MACHAKOS",67,3396,4208,7604
2687,"MACHAKOS",68,1318,1602,2920
2688,"MACHAKOS",69,2002,2712,4714
2689,"MACHAKOS","65-69",11346,13847,25193
2690,"MACHAKOS",70,2396,3165,5561
2691,"MACHAKOS",71,1846,2470,4316
2692,"MACHAKOS",72,1378,1428,2806
2693,"MACHAKOS",73,1263,1471,2734
2694,"MACHAKOS",74,1185,1634,2819
2695,"MACHAKOS","70-74",8068,10168,18236
2696,"MACHAKOS",75,917,1290,2207
2697,"MACHAKOS",76,708,1210,1918
2698,"MACHAKOS",77,929,1570,2499
2699,"MACHAKOS",78,623,729,1352
2700,"MACHAKOS",79,665,1639,2304
2701,"MACHAKOS","75-79",3842,6438,10280
2702,"MACHAKOS",80,1004,1726,2730
2703,"MACHAKOS",81,669,990,1659
2704,"MACHAKOS",82,578,600,1178
2705,"MACHAKOS",83,619,850,1469
2706,"MACHAKOS",84,507,864,1371
2707,"MACHAKOS","80-84",3377,5030,8407
2708,"MACHAKOS",85,407,649,1056
2709,"MACHAKOS",86,294,309,603
2710,"MACHAKOS",87,403,668,1071
2711,"MACHAKOS",88,198,239,437
2712,"MACHAKOS",89,383,1177,1560
2713,"MACHAKOS","85-89",1685,3042,4727
2714,"MACHAKOS",90,300,711,1011
2715,"MACHAKOS",91,408,856,1264
2716,"MACHAKOS",92,171,292,463
2717,"MACHAKOS",93,129,250,379
2718,"MACHAKOS",94,117,269,386
2719,"MACHAKOS","90-94",1125,2378,3503
2720,"MACHAKOS",95,174,358,532
2721,"MACHAKOS",96,92,143,235
2722,"MACHAKOS",97,112,132,244
2723,"MACHAKOS",98,70,129,199
2724,"MACHAKOS",99,105,360,465
2725,"MACHAKOS","95-99",553,1122,1675
2726,"MACHAKOS","100+",267,600,867
2727,"MACHAKOS","Not Stated",8,1,9
2729,"MAKUENI","Total",450482,460075,910557
2730,"MAKUENI",0,7902,7982,15884
2731,"MAKUENI",1,8888,8671,17559
2732,"MAKUENI",2,8733,8725,17458
2733,"MAKUENI",3,9341,8923,18264
2734,"MAKUENI",4,9603,9317,18920
2735,"MAKUENI","0 - 4",44467,43618,88085
2736,"MAKUENI",5,10029,9649,19678
2737,"MAKUENI",6,9841,9636,19477
2738,"MAKUENI",7,10399,10099,20498
2739,"MAKUENI",8,11009,10713,21722
2740,"MAKUENI",9,11822,11525,23347
2741,"MAKUENI","5-9",53100,51622,104722
2742,"MAKUENI",10,12410,12171,24581
2743,"MAKUENI",11,12605,12766,25371
2744,"MAKUENI",12,13892,13201,27093
2745,"MAKUENI",13,13337,13311,26648
2746,"MAKUENI",14,13350,12631,25981
2747,"MAKUENI","10-14",65594,64080,129674
2748,"MAKUENI",15,13513,12886,26399
2749,"MAKUENI",16,12812,12371,25183
2750,"MAKUENI",17,13452,12215,25667
2751,"MAKUENI",18,10423,9088,19511
2752,"MAKUENI",19,10789,8999,19788
2753,"MAKUENI","15-19",60989,55559,116548
2754,"MAKUENI",20,9313,7880,17193
2755,"MAKUENI",21,7773,6864,14637
2756,"MAKUENI",22,6713,5975,12688
2757,"MAKUENI",23,6867,6588,13455
2758,"MAKUENI",24,6279,5804,12083
2759,"MAKUENI","20-24",36945,33111,70056
2760,"MAKUENI",25,6618,6210,12828
2761,"MAKUENI",26,5357,5622,10979
2762,"MAKUENI",27,5725,5545,11270
2763,"MAKUENI",28,4575,4770,9345
2764,"MAKUENI",29,5672,5869,11541
2765,"MAKUENI","25-29",27947,28016,55963
2766,"MAKUENI",30,6365,7080,13445
2767,"MAKUENI",31,4985,5329,10314
2768,"MAKUENI",32,5773,6462,12235
2769,"MAKUENI",33,5473,6190,11663
2770,"MAKUENI",34,4606,5276,9882
2771,"MAKUENI","30-34",27202,30337,57539
2772,"MAKUENI",35,6481,6804,13285
2773,"MAKUENI",36,4592,4809,9401
2774,"MAKUENI",37,5206,5045,10251
2775,"MAKUENI",38,3533,3780,7313
2776,"MAKUENI",39,4911,5140,10051
2777,"MAKUENI","35-39",24723,25578,50301
2778,"MAKUENI",40,5016,5140,10156
2779,"MAKUENI",41,5127,5026,10153
2780,"MAKUENI",42,4333,4265,8598
